day,n,mean_score,n_pos,n_neg,net_sentiment,zscore
2026-04-07,164,-0.001617734348287843,29,27,0.012195121951219513,
2026-04-08,178,-0.020401455223916117,31,42,-0.06179775280898876,
2026-04-09,173,-0.02391114224669001,32,38,-0.03468208092485549,
2026-04-10,145,-0.030318395980184185,26,33,-0.04827586206896552,
2026-04-11,26,0.03831667905100264,3,1,0.07692307692307693,
2026-04-12,48,-0.010220312360615923,6,4,0.041666666666666664,
2026-04-13,180,-0.05280335950936811,21,45,-0.13333333333333333,
2026-04-14,178,-0.07178008867861975,24,50,-0.14606741573033707,
2026-04-15,184,-0.05285261352698359,25,43,-0.09782608695652174,
2026-04-16,151,-0.047076758987652685,19,33,-0.09271523178807947,-0.6265253862407468
2026-04-17,124,-0.006557959072749996,20,29,-0.07258064516129033,0.614433036241949
2026-04-18,27,-0.1425878329331883,0,6,-0.2222222222222222,-2.403463002929105
2026-04-19,39,-0.060604885933347626,5,9,-0.10256410256410256,-0.5416790813890925
2026-04-20,142,-0.04478708113130496,18,31,-0.09154929577464789,-0.1708743123479293
2026-04-21,157,-0.05988239334320803,23,40,-0.10828025477707007,-0.5107362589310225
2026-04-22,153,-0.040378829084787196,24,37,-0.08496732026143791,-0.029621749737131324
2026-04-23,160,-0.08432840874738759,22,50,-0.175,-1.0738928264957173
2026-04-24,139,-0.03412045534036839,21,33,-0.08633093525179857,0.19060417759565992
2026-04-25,17,-0.19572127594009917,1,8,-0.4117647058823529,-2.841758692286448
2026-04-26,29,0.01424245381856274,2,1,0.034482758620689655,1.1643879115300335
2026-04-27,160,-0.03376781607221345,26,35,-0.05625,0.23620138779343017
2026-04-28,150,-0.027851501258555792,26,33,-0.04666666666666667,0.34390299326418006
2026-04-29,168,-0.05644924830079876,31,43,-0.07142857142857142,-0.22599409531916886
2026-04-30,154,-0.09059654572682285,11,46,-0.22727272727272727,-0.8926391583210254
2026-05-01,67,-0.07452989187119388,7,20,-0.19402985074626866,-0.5466820933236545
2026-05-02,18,-0.027068599541154155,4,5,-0.05555555555555555,0.4371020548834804
2026-05-03,30,-0.09446467137585082,5,10,-0.16666666666666666,-0.9613978443124165
2026-05-04,161,-0.011521156620008648,33,31,0.012422360248447204,0.782322767829082
2026-05-05,156,-0.017089464974094127,29,28,0.00641025641025641,0.6466893703032742
2026-05-06,156,-6.394042597648365e-06,33,30,0.019230769230769232,0.9831103139986088
