type,date,cluster,method,post_id,ticker,reason,text
ticker_risk,2026-04-07,-1,lexicon,365771,BTC,тикеры BTC + риск: ['падение'],
ticker_risk,2026-04-09,-1,lexicon,366062,SGZH,тикеры SGZH + риск: ['банкротство'],
ticker_risk,2026-04-09,-1,lexicon,366070,NKSH,тикеры NKSH + риск: ['расследование'],
ticker_risk,2026-04-10,-1,lexicon,366319,ROST,тикеры ROST + риск: ['негатив'],
ticker_risk,2026-04-13,-1,lexicon,366482,EUTR,тикеры EUTR + риск: ['дефолт'],
ticker_risk,2026-04-15,-1,lexicon,366841,AFKS,тикеры AFKS + риск: ['сокращение'],
ticker_risk,2026-04-15,-1,lexicon,366865,HRMS,тикеры HRMS + риск: ['падение'],
ticker_risk,2026-04-15,-1,lexicon,366951,RAGR,тикеры RAGR + риск: ['арест'],
ticker_risk,2026-04-16,-1,lexicon,367018,NKSH,тикеры NKSH + риск: ['расследование'],
ticker_risk,2026-04-20,-1,lexicon,367375,EUTR,тикеры EUTR + риск: ['дефолт'],
ticker_risk,2026-04-20,-1,lexicon,367444,MTSS,тикеры MTSS + риск: ['риск'],
ticker_risk,2026-04-21,-1,lexicon,367490,"CHMF,GE,HAL,IBKR,ISRG,LEAS,MMM,NOC,PRMD,RTX,TGKN,UAL,UNH","тикеры CHMF,GE,HAL,IBKR,ISRG,LEAS,MMM,NOC,PRMD,RTX,TGKN,UAL,UNH + риск: ['санкций']",
ticker_risk,2026-04-23,-1,lexicon,367803,"AAL,ALRS,AXP,BX,CMCSA,DATA,HON,INTC,LKOH,LMT,MAGN,NOK,PHOR,SNGS,SNY,UNP","тикеры AAL,ALRS,AXP,BX,CMCSA,DATA,HON,INTC,LKOH,LMT,MAGN,NOK,PHOR,SNGS,SNY,UNP + риск: ['санкций']",
ticker_risk,2026-04-23,-1,lexicon,367935,CBDC,тикеры CBDC + риск: ['санкции'],
ticker_risk,2026-04-24,-1,lexicon,367973,BTC,тикеры BTC + риск: ['риск'],
ticker_risk,2026-04-24,-1,lexicon,368031,RAGR,тикеры RAGR + риск: ['риск'],
ticker_risk,2026-04-24,-1,lexicon,368062,BTC,тикеры BTC + риск: ['ликвидация'],
ticker_risk,2026-05-01,-1,lexicon,368797,USD,тикеры USD + риск: ['падение'],
ticker_risk,2026-05-02,-1,lexicon,368872,HYPE,тикеры HYPE + риск: ['риск'],
ticker_risk,2026-05-04,-1,lexicon,368966,RAGR,тикеры RAGR + риск: ['арест'],
ticker_risk,2026-05-05,-1,lexicon,369109,BTC,"тикеры BTC + риск: ['падение', 'падение']",
ticker_risk,2026-05-05,-1,lexicon,369139,SMLT,тикеры SMLT + риск: ['дефолт'],
ticker_risk,2026-05-05,-1,lexicon,369174,DELI,тикеры DELI + риск: ['негатив'],
sentiment_shift,2026-05-06,-1,sentiment,368924,ETLN,негатив сдвиг -0.74 (старое 0.00 - новое -0.74),"#ETLN «Эталон» продал торговый центр «Летний сад» на севере Москвы с убытком в 2,2 млрд руб — Ъ mt в max"
